,orig_acc,orin_acc,ratio,with_ang_acc,with_angs_acc,with_both_acc,with_dist_acc
0,32.9218106996,,0.1,,39.5061728395,33.7448559671,31.6872427984
1,46.2962962963,,0.2,,49.537037037,51.8518518519,54.6296296296
2,59.7883597884,,0.3,,64.0211640212,60.8465608466,66.1375661376
3,68.5185185185,,0.4,,75.3086419753,73.4567901235,77.1604938272
4,62.2222222222,,0.5,,63.7037037037,71.1111111111,60.0
5,73.1481481481,,0.6,,75.9259259259,81.4814814815,75.0
6,76.5432098765,,0.7,,76.5432098765,74.0740740741,72.8395061728
7,72.2222222222,,0.8,,66.6666666667,74.0740740741,75.9259259259
8,77.7777777778,,0.9,,81.4814814815,77.7777777778,77.7777777778
9,39.9176954733,,0.1,,26.3374485597,38.683127572,34.9794238683
10,50.0,,0.2,,50.9259259259,55.5555555556,51.3888888889
11,62.962962963,,0.3,,64.5502645503,62.962962963,61.3756613757
12,62.3456790123,,0.4,,64.8148148148,67.9012345679,65.4320987654
13,73.3333333333,,0.5,,67.4074074074,62.2222222222,68.1481481481
14,72.2222222222,,0.6,,70.3703703704,73.1481481481,76.8518518519
15,67.9012345679,,0.7,,77.7777777778,70.3703703704,72.8395061728
16,75.9259259259,,0.8,,72.2222222222,74.0740740741,81.4814814815
17,88.8888888889,,0.9,,70.3703703704,77.7777777778,70.3703703704
18,25.5144032922,,0.1,,37.4485596708,45.6790123457,24.2798353909
19,53.7037037037,,0.2,,49.0740740741,51.8518518519,52.3148148148
20,60.3174603175,,0.3,,62.4338624339,64.0211640212,59.2592592593
21,67.2839506173,,0.4,,70.987654321,70.3703703704,64.1975308642
22,69.6296296296,,0.5,,65.9259259259,71.1111111111,66.6666666667
23,67.5925925926,,0.6,,72.2222222222,83.3333333333,71.2962962963
24,74.0740740741,,0.7,,66.6666666667,70.3703703704,71.6049382716
25,74.0740740741,,0.8,,72.2222222222,72.2222222222,77.7777777778
26,81.4814814815,,0.9,,74.0740740741,77.7777777778,81.4814814815
27,27.9835390947,,0.1,,41.975308642,35.3909465021,34.5679012346
28,55.5555555556,,0.2,,56.0185185185,50.0,50.9259259259
29,56.6137566138,,0.3,,61.3756613757,61.9047619048,59.2592592593
30,61.7283950617,,0.4,,67.9012345679,66.6666666667,69.7530864198
31,64.4444444444,,0.5,,62.2222222222,68.1481481481,62.2222222222
32,72.2222222222,,0.6,,69.4444444444,74.0740740741,74.0740740741
33,65.4320987654,,0.7,,71.6049382716,71.6049382716,70.3703703704
34,72.2222222222,,0.8,,66.6666666667,66.6666666667,83.3333333333
35,70.3703703704,,0.9,,70.3703703704,77.7777777778,77.7777777778
36,28.8065843621,,0.1,,27.1604938272,27.1604938272,37.8600823045
37,55.0925925926,,0.2,,47.6851851852,42.5925925926,50.9259259259
38,57.1428571429,,0.3,,67.7248677249,60.3174603175,62.962962963
39,65.4320987654,,0.4,,70.987654321,73.4567901235,65.4320987654
40,67.4074074074,,0.5,,67.4074074074,68.1481481481,68.1481481481
41,75.9259259259,,0.6,,74.0740740741,76.8518518519,77.7777777778
42,70.3703703704,,0.7,,76.5432098765,72.8395061728,75.3086419753
43,72.2222222222,,0.8,,70.3703703704,74.0740740741,75.9259259259
44,77.7777777778,,0.9,,62.962962963,66.6666666667,81.4814814815
